HS Code,Level,Item Description,Unit,Basic Duty (SCH),Basic Duty (NTFN),Specific Duty (Rs),IGST,10% SWS,Total duty with SWS of 10% on BCD,Total Duty Specific,Pref. Duty (A),Import Policy ,Non Tariff Barriers,Export Policy,Remark,Basic Duty (SCH)_value,Basic Duty (SCH)_unit,Basic Duty (SCH)_display,Basic Duty (NTFN)_value,Basic Duty (NTFN)_unit,Basic Duty (NTFN)_display,Specific Duty (Rs)_value,Specific Duty (Rs)_unit,Specific Duty (Rs)_display,IGST_value,IGST_unit,IGST_display,10% SWS_value,10% SWS_unit,10% SWS_display,Total duty with SWS of 10% on BCD_value,Total duty with SWS of 10% on BCD_unit,Total duty with SWS of 10% on BCD_display,Total Duty Specific_value,Total Duty Specific_unit,Total Duty Specific_display,Pref. Duty (A)_value,Pref. Duty (A)_unit,Pref. Duty (A)_display,Export Policy_text,Export Policy_links
,,Chapter 8-Edible Fruit and Nuts; Peel of Citrus Fruit or Melons,,,,,,,,,,,,,Chapter,,,,,,,,,,,,,,,,,,,,,,,,,,[]
,,IGST on this Chapter,,,,,,,,,,,,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,[]
08,,"Dried makhana, whether or not shelled or peeled [other than pre-packaged and labelled]
[SNo(46B) in Ntfn 02-IGST/28.06.2017 as amended by 07-IGST/13.07.2022]",,,,,0,,,,,,,,Notes,,,,,,,,,,0.0,percentage,0.00%,,,,,,,,,,,,,,[]
08,,"Dried makhana, whether or not shelled or peeled, pre-packaged and labelled 
[SNo 30 in Sch I of Ntfn 01-IGST/28.06.2017 as amended by 06/2022-IGST dated 13.07.2022]",,,,,5,,,,,,,,Notes,,,,,,,,,,0.05,percentage,5.00%,,,,,,,,,,,,,,[]
0801,,"COCONUTS, BRAZIL NUTS AND CASHEW NUTS, FRESH OR DRIED, WHETHER OR NOT SHELLED OR PEELED",,,,,,,,,,,,,Tariff,,,,,,,,,,,,,,,,,,,,,,,,,,[]
,-,Coconuts:,,,,,,,,,,,,,Tariff,,,,,,,,,,,,,,,,,,,,,,,,,,[]
0801 11 00,--,Desiccated,kg,70,,,5,7.0,85.85,,60,Proh*,Agri Permit,Free,Tariff,0.7,percentage,70.00%,,,,,,,0.05,percentage,5.00%,0.07,percentage,7.00%,0.8584999999999999,percentage,85.85%,,,,0.6,percentage,60.00%,Free,[]
0801 12,--,In the inner shell (endocarp):,,,,,,,,,,,,,Tariff,,,,,,,,,,,,,,,,,,,,,,,,,,[]
0801 12 10,---,Fresh,kg,70,,,0,7.0,77.0,,60,Free,Agri Permit,Free,Tariff,0.7,percentage,70.00%,,,,,,,0.0,percentage,0.00%,0.07,percentage,7.00%,0.77,percentage,77.00%,,,,0.6,percentage,60.00%,Free,[]
0801 12 20,---,Dried,kg,70,,,0,7.0,77.0,,60,Free,Agri Permit,Free,Tariff,0.7,percentage,70.00%,,,,,,,0.0,percentage,0.00%,0.07,percentage,7.00%,0.77,percentage,77.00%,,,,0.6,percentage,60.00%,Free,[]
